ticker,regime,boot_id,n,AIC_Normal,BIC_Normal,logL_Normal,AIC_StudentT,BIC_StudentT,logL_StudentT,nu_hat,AIC_PearsonVII,BIC_PearsonVII,logL_PearsonVII,m_hat,scale_hat,Best_AIC
IBM,Medium,4,2067,5837.022095151449,5837.022095151449,-2918.5110475757247,5700.621501866056,5706.255355425737,-2849.310750933028,10.334800751153853,5525.682715060443,5536.950422179807,-2760.8413575302216,2.4822102546317906,1.4051523023101664,PearsonVII
IBM,Medium,5,2067,5846.496105327699,5846.496105327699,-2923.2480526638496,5767.348988683047,5772.982842242728,-2882.6744943415233,12.362544461880162,5663.827996667529,5675.095703786893,-2829.9139983337645,2.9108478432938165,1.6823133568531492,PearsonVII
IBM,High,1,2070,5791.929449084197,5791.929449084197,-2895.9647245420983,5683.785249563922,5689.420553450182,-2840.892624781961,11.225067254006019,5504.121678844316,5515.392286616835,-2750.060839422158,2.4425640819065837,1.3733802510459765,PearsonVII
IBM,High,2,2070,5805.8462214423735,5805.8462214423735,-2902.9231107211867,5720.9667040887625,5726.602007975022,-2859.4833520443813,11.702978825415551,5573.895425538294,5585.166033310813,-2784.947712769147,2.6136466560573712,1.4904178180901457,PearsonVII
IBM,High,3,2070,5867.154888621066,5867.154888621066,-2933.577444310533,5783.304853785603,5788.940157671863,-2890.6524268928015,12.521025253720158,5688.677906063424,5699.948513835943,-2842.338953031712,3.045957719327772,1.7565055533588847,PearsonVII
IBM,High,4,2070,5853.881684634438,5853.881684634438,-2926.940842317219,5755.247738651302,5760.883042537562,-2876.623869325651,11.8004494460994,5634.924840351384,5646.195448123903,-2815.462420175692,2.7807340276920955,1.601050378031517,PearsonVII
IBM,High,5,2070,5781.074487464313,5781.074487464313,-2890.5372437321566,5707.954095509036,5713.589399395296,-2852.977047754518,12.662863851566073,5561.846845371201,5573.11745314372,-2778.9234226856006,2.5638092551529854,1.4593555971327663,PearsonVII
INTC,Low,1,2105,5938.013198494538,5938.013198494538,-2969.006599247269,5843.824725441795,5849.4767961879115,-2920.9123627208974,11.655170222601237,5713.35913049099,5724.663271983222,-2854.679565245495,2.7588855705112834,1.5833846230238278,PearsonVII
INTC,Low,2,2105,5995.904249881616,5995.904249881616,-2997.952124940808,5898.39119195721,5904.043262703327,-2948.195595978605,12.21768073352053,5811.25883918657,5822.562980678803,-2903.629419593285,3.218580912153109,1.8511853248205803,PearsonVII
INTC,Low,3,2105,5997.1303012889275,5997.1303012889275,-2998.5651506444638,5891.934377701509,5897.586448447626,-2944.9671888507546,11.696490126167406,5794.272239006222,5805.5763804984545,-2895.136119503111,3.070646171748453,1.77257531128365,PearsonVII
INTC,Low,4,2105,5975.249729151422,5975.249729151422,-2987.624864575711,5891.229355686464,5896.881426432581,-2944.614677843232,12.495104354019194,5799.896940313929,5811.201081806162,-2897.9484701569645,3.0977340042788777,1.7881747051580332,PearsonVII
INTC,Low,5,2105,5995.185532272593,5995.185532272593,-2997.5927661362966,5872.142381789836,5877.794452535953,-2935.071190894918,11.0956430538526,5755.583210390573,5766.887351882806,-2875.7916051952866,2.9038087521249945,1.6738566997358377,PearsonVII
INTC,Medium,1,2067,5808.84777584309,5808.84777584309,-2904.423887921545,5722.054813177006,5727.688666736687,-2860.027406588503,11.983997421557916,5585.31019795445,5596.577905073814,-2790.655098977225,2.64715691995995,1.515357198508179,PearsonVII
INTC,Medium,2,2067,5827.26160675187,5827.26160675187,-2913.630803375935,5740.085869222708,5745.71972278239,-2869.042934611354,11.8338128693311,5614.556824438288,5625.824531557651,-2805.278412219144,2.7341017213006436,1.5721071038258527,PearsonVII
INTC,Medium,3,2067,5750.6774263277875,5750.6774263277875,-2875.3387131638938,5667.538900220061,5673.172753779742,-2832.7694501100304,12.248748994751313,5496.703276512577,5507.970983631941,-2746.3516382562884,2.458727693096273,1.3824722767053337,PearsonVII
INTC,Medium,4,2067,5882.638030906836,5882.638030906836,-2941.319015453418,5750.0435864428855,5755.677440002567,-2874.0217932214427,11.297152604426849,5628.3739289271725,5639.641636046536,-2812.1869644635863,2.7794834666646335,1.6010258112184537,PearsonVII
INTC,Medium,5,2067,5871.380701770448,5871.380701770448,-2935.690350885224,5774.263497988953,5779.897351548634,-2886.1317489944763,12.586452029543317,5681.108360646449,5692.376067765813,-2838.5541803232245,3.033062770218828,1.750448360185008,PearsonVII
INTC,High,1,2070,5859.749615745727,5859.749615745727,-2929.8748078728636,5798.841618491898,5804.476922378158,-2898.420809245949,13.662843744770058,5720.581365477998,5731.8519732505165,-2858.290682738999,3.2194785952827227,1.8542433191356797,PearsonVII
INTC,High,2,2070,5864.854041055898,5864.854041055898,-2932.427020527949,5807.125870935118,5812.761174821378,-2902.562935467559,14.011965261177712,5737.436544230518,5748.707152003037,-2866.718272115259,3.4023996866393063,1.9474424409776607,PearsonVII
INTC,High,3,2070,5872.426144553339,5872.426144553339,-2936.2130722766697,5841.465131580789,5847.100435467049,-2919.7325657903943,17.860962915843107,5804.682046705559,5815.952654478077,-2900.3410233527793,4.241394843609748,2.3415543818931552,PearsonVII
INTC,High,4,2070,5842.947911838064,5842.947911838064,-2921.473955919032,5778.899149562916,5784.534453449176,-2888.449574781458,13.423000190775111,5686.294221321018,5697.564829093537,-2841.147110660509,2.9840210341166467,1.7248794040601405,PearsonVII
INTC,High,5,2070,5867.2855628768,5867.2855628768,-2933.6427814384,5819.345606318315,5824.980910204575,-2908.6728031591574,14.812188389252624,5758.906670206348,5770.177277978867,-2877.453335103174,3.525581426302249,2.0137175240322036,PearsonVII
MSFT,Low,1,2105,5934.23342949546,5934.23342949546,-2967.11671474773,5856.568966008895,5862.2210367550115,-2927.2844830044473,12.114384198636017,5738.081710109245,5749.385851601478,-2867.0408550546226,2.8236945201122325,1.6262355851338701,PearsonVII
